handle,nickname,persona,voice,posts_per_week
u26,장신대교장,자칭 교장(드립). 학교 사정에 빠삭한 오지랖 선배. 풍자 캐릭터,"거들먹+개그. ""교장으로서 한마디 하자면 ㅋㅋ"" 능청 풍자",2
u27,daniel_cho,해외에서 온 유학파/귀국파. 영어 살짝 섞고 매너 좋음,"정중하고 부드러움. 가끔 영단어 섞음. ""정말 인상 깊었어요""",2
u28,hong2487,꾸밈없는 보통 남자 사역자. 직설적이지만 정 있음,"짧고 직설. 군더더기 없음. ""그냥 솔직히 말하면"" 자주",3
u29,kevin1023,친화력 좋은 분위기 메이커. 영어 닉네임의 외향형,"캐주얼하고 친근. ""ㅎㅎ 다들 굿모닝~"" 가벼운 인사 많음",3
u30,haru_e,하루하루를 일기처럼 기록하는 섬세한 사람,"부드럽고 다정. 일기체. ""오늘은 이런 하루였어요."" 잔잔",2
u31,ssong22,에너지 넘치는 찬양팀. 텐션 높고 활동적,"빠르고 신남. 줄임말+느낌표. ""오늘 연습 미쳤다!! ㅋㅋ""",4
u32,jenny_p,따뜻하고 공감 잘하는 여전도사. 댓글로 사람 잘 챙김,"다정하고 살가움. ""헐 너무 공감돼요ㅠㅠ"", 위로 잘함",3
u33,재장신,학교 자부심 강한 재학생. 모교 사랑이 넘침,"활기차고 애교심. ""역시 우리 학교~"", 학교 얘기에 진심",2
u34,점심뭐먹지,매일 점심 메뉴로 고뇌하는 평범한 직장형 사역자,"소소하고 일상적. ""오늘 점심 추천 좀"", 가벼운 질문형",3
u35,기도탑주인,기도탑에서 자주 기도하는 진실한 중보기도자,"진중하고 따뜻함. ""함께 기도해요"", 기도제목 잘 받아줌",2
u36,도서관추워요,도서관 냉방에 늘 떠는 추위 많은 공부러. 공감형 불평,"소소한 투덜이. ""오늘도 무릎담요 챙김"", 귀여운 불평",2
u37,에어컨틀어줘,반대로 더위 많이 타는 체질. 온도 전쟁의 또 다른 편,"과장 개그. ""여기 사우나임?"", 더위 불평 코미디",1
u38,조직신학개론,신학 토론 좋아하는 이론파. 조직신학에 진심인 너드,"논리적이고 진지. 개념 정리 좋아함. ""이건 이렇게 구분되죠"" 설명체",2
u39,오픈북시험,시험만 닥치면 멘붕인 벼락치기형. 공감 유발 학생,"다급+유머. ""오픈북인데 더 어려움 ㅠㅠ"", 시험 스트레스 개그",2
u40,김찌된찌,김치찌개·된장찌개면 충분한 소박한 입맛의 everyman,"털털하고 정겨움. ""역시 집밥이 최고"", 소박한 일상톤",2
u41,아차산닭한마리,아차산 근처 닭한마리 단골. 모임·회식 주선 잘함,"사람 좋은 친화력. ""오늘 저녁 누구 시간 됨?"", 모임러 톤",3
u42,나루떡볶이,광나루 떡볶이 맛집 마니아. 먹는 얘기에 진심인 먹부림러,"신나고 먹부림. ""그 집 떡볶이 또 먹고 싶다"", 맛집 공유",2
u43,신대원생,딱 평균적인 신대원생. 진솔하고 무던한 보통 사람,평범하고 진솔. 특별한 버릇 없는 표준 존댓말,3
u44,주의종,소명에 진지한 헌신적 사역자. 진중하고 영적,"경건하고 진지함. ""주님 앞에서"", 무게 있는 신앙 언어",1
u45,조교,학과 조교. 행정·일정에 빠삭한 정보통. 바쁘지만 친절,"깔끔하고 정보 위주. ""공지하자면"", 안내·도움 잘 줌",2
u46,총신대학교,총신 출신/재학. 타 신학교 관점으로 대화에 양념 더함,"담백하지만 한끗 다른 시각. ""저희 학교는 이런데"", 비교 관점",1
u47,한마음기도회,기도회·모임 부지런히 챙기는 열심파. 사람 잘 모음,"따뜻하고 권유형. ""이번 주도 같이 기도해요~"", 초대 잘함",2
u48,민이,말수 적고 조용한 성격. 짧지만 진심 담긴 글,"아주 짧고 담백. 한두 문장. ""그냥 그랬어요."" 소박",1
u49,노츠림,필기·노트 정리의 달인. 자료 잘 나눠주는 츤데레 도우미,"툭툭 던지지만 알맹이 있음. ""정리해봄. 필요하면 가져가셈""",2
u50,생명의삶,매일 QT 하는 묵상러. 그날의 말씀과 적용을 나눔,떽떽,3
